Network,Alpha2code,Region,City,Postal code 
2A02:88D:8033::/48,SA,SA-02,Western,
2A02:88D:8034::/48,SA,SA-02,Western,
2A02:88D:8035::/48,SA,SA-02,Western,
2A02:88D:8036::/48,SA,SA-02,Western,
2A02:88D:8037::/48,SA,SA-02,Western,
2A02:88D:8038::/48,SA,SA-02,Western,
2A02:88D:8010::/48,SA,SA-02,Western,
2A02:88D:801F::/64,SA,SA-02,Western,
2A02:88D:8019::/48,SA,SA-02,Western,
2A02:88D:801A::/48,SA,SA-02,Western,
2A02:88D:801B::/48,SA,SA-02,Western,
2A02:88D:801C::/48,SA,SA-02,Western,
2A02:88D:801D::/48,SA,SA-02,Western,
2A02:88D:801E::/48,SA,SA-02,Western,
2A02:88D:8011::/48,SA,SA-02,Western,
2A02:88D:8012::/48,SA,SA-02,Western,
2A02:88D:8013::/48,SA,SA-02,Western,
2A02:88D:8014::/48,SA,SA-02,Western,
2A02:88D:8015::/48,SA,SA-02,Western,
2A02:88D:8016::/48,SA,SA-02,Western,
2A02:88D:8017::/48,SA,SA-02,Western,
2A02:88D:8018::/48,SA,SA-02,Western,
2A02:88D:8020::/48,SA,SA-02,Western,
2A02:88D:802F::/64,SA,SA-02,Western,
2A02:88D:8029::/48,SA,SA-02,Western,
2A02:88D:802A::/48,SA,SA-02,Western,
2A02:88D:802B::/48,SA,SA-02,Western,
2A02:88D:802C::/48,SA,SA-02,Western,
2A02:88D:802D::/48,SA,SA-02,Western,
2A02:88D:802E::/48,SA,SA-02,Western,
2A02:88D:8021::/48,SA,SA-02,Western,
2A02:88D:8022::/48,SA,SA-02,Western,
2A02:88D:8023::/48,SA,SA-02,Western,
2A02:88D:8024::/48,SA,SA-02,Western,
2A02:88D:8025::/48,SA,SA-02,Western,
2A02:88D:8026::/48,SA,SA-02,Western,
2A02:88D:8027::/48,SA,SA-02,Western,
2A02:88D:8028::/48,SA,SA-02,Western,
2A02:88D:8000::/48,SA,SA-02,Western,
2A02:88D:800F::/64,SA,SA-02,Western,
2A02:88D:8009::/48,SA,SA-02,Western,
2A02:88D:800A::/48,SA,SA-02,Western,
2A02:88D:800B::/48,SA,SA-02,Western,
2A02:88D:800C::/48,SA,SA-02,Western,
2A02:88D:800D::/48,SA,SA-02,Western,
2A02:88D:800E::/48,SA,SA-02,Western,
2A02:88D:8001::/48,SA,SA-02,Western,
2A02:88D:8002::/48,SA,SA-02,Western,
2A02:88D:8003::/48,SA,SA-02,Western,
2A02:88D:8004::/48,SA,SA-02,Western,
2A02:88D:8005::/48,SA,SA-02,Western,
2A02:88D:8006::/48,SA,SA-02,Western,
2A02:88D:8007::/48,SA,SA-02,Western,
2A02:88D:8008::/48,SA,SA-02,Western,
