Network,Alpha2code,Region,City
46.184.124.0/24,SA,SA-02,Western
46.184.125.0/24,SA,SA-02,Western
46.184.126.0/24,SA,SA-02,Western
46.184.56.0/24,SA,SA-02,Western
46.184.57.0/24,SA,SA-02,Western
46.184.58.0/24,SA,SA-02,Western
46.184.59.0/24,SA,SA-02,Western
46.184.60.0/24,SA,SA-02,Western
46.184.61.0/24,SA,SA-02,Western
46.184.76.0/24,SA,SA-02,Western
46.184.77.0/24,SA,SA-02,Western
46.184.78.0/24,SA,SA-02,Western
46.184.79.0/24,SA,SA-02,Western
46.184.80.0/24,SA,SA-02,Western
46.184.81.0/24,SA,SA-02,Western
46.184.82.0/24,SA,SA-02,Western
46.184.83.0/24,SA,SA-02,Western
46.184.84.0/24,SA,SA-02,Western
46.184.85.0/24,SA,SA-02,Western
46.184.86.0/24,SA,SA-02,Western
46.184.87.0/24,SA,SA-02,Western
46.184.93.0/24,SA,SA-02,Western
46.184.96.0/24,SA,SA-02,Western
46.184.97.0/24,SA,SA-02,Western
46.184.98.0/24,SA,SA-02,Western
46.184.99.0/24,SA,SA-02,Western
188.249.112.0/24,SA,SA-02,Western
188.249.113.0/24,SA,SA-02,Western
188.249.114.0/24,SA,SA-02,Western
188.249.116.0/24,SA,SA-02,Western
188.249.117.0/24,SA,SA-02,Western
188.249.118.0/24,SA,SA-02,Western
188.249.119.0/24,SA,SA-02,Western
188.249.126.0/24,SA,SA-02,Western
188.249.127.0/24,SA,SA-02,Western
94.77.245.0/24,SA,SA-02,Western
94.77.243.0/24,SA,SA-02,Western
94.77.244.0/24,SA,SA-02,Western
94.77.240.0/24,SA,SA-02,Western
46.184.120.0/24,SA,SA-02,Western
46.184.121.0/24,SA,SA-02,Western
46.184.122.0/24,SA,SA-02,Western
46.184.123.0/24,SA,SA-02,Western
46.184.124.0/24,SA,SA-02,Western
46.184.125.0/24,SA,SA-02,Western
46.184.126.0/24,SA,SA-02,Western
46.184.93.0/24,SA,SA-02,Western
46.184.84.0/24,SA,SA-02,Western
46.184.85.0/24,SA,SA-02,Western
46.184.86.0/24,SA,SA-02,Western
46.184.87.0/24,SA,SA-02,Western
188.249.115.0/24,SA,SA-02,Western
46.184.112.0/24,SA,SA-02,Western
46.184.113.0/24,SA,SA-02,Western
46.184.114.0/24,SA,SA-02,Western
46.184.115.0/24,SA,SA-02,Western
46.184.116.0/24,SA,SA-02,Western
46.184.117.0/24,SA,SA-02,Western
46.184.118.0/24,SA,SA-02,Western
46.184.119.0/24,SA,SA-02,Western
46.184.76.0/24,SA,SA-02,Western
46.184.77.0/24,SA,SA-02,Western
46.184.78.0/24,SA,SA-02,Western
46.184.79.0/24,SA,SA-02,Western
46.184.80.0/24,SA,SA-02,Western
46.184.81.0/24,SA,SA-02,Western
46.184.82.0/24,SA,SA-02,Western
46.184.83.0/24,SA,SA-02,Western
188.249.32.0/24,SA,SA-02,Western
188.249.33.0/24,SA,SA-02,Western
188.249.34.0/24,SA,SA-02,Western
188.249.35.0/24,SA,SA-02,Western
188.249.36.0/24,SA,SA-02,Western
188.249.37.0/24,SA,SA-02,Western
188.249.38.0/24,SA,SA-02,Western
188.249.39.0/24,SA,SA-02,Western
188.249.40.0/24,SA,SA-02,Western
188.249.41.0/24,SA,SA-02,Western
188.249.42.0/24,SA,SA-02,Western
188.249.43.0/24,SA,SA-02,Western
188.249.44.0/24,SA,SA-02,Western
188.249.45.0/24,SA,SA-02,Western
188.249.46.0/24,SA,SA-02,Western
188.249.47.0/24,SA,SA-02,Western
188.249.48.0/24,SA,SA-02,Western
188.249.49.0/24,SA,SA-02,Western
188.249.50.0/24,SA,SA-02,Western
188.249.51.0/24,SA,SA-02,Western
188.249.52.0/24,SA,SA-02,Western
188.249.53.0/24,SA,SA-02,Western
188.249.54.0/24,SA,SA-02,Western
188.249.55.0/24,SA,SA-02,Western
188.249.56.0/24,SA,SA-02,Western
188.249.57.0/24,SA,SA-02,Western
188.249.58.0/24,SA,SA-02,Western
188.249.59.0/24,SA,SA-02,Western
188.249.60.0/24,SA,SA-02,Western
188.249.61.0/24,SA,SA-02,Western
188.249.62.0/24,SA,SA-02,Western
188.249.31.0/24               ,SA,SA-02,Western
188.249.63.0/24,SA,SA-02,Western
188.249.96.0/24,SA,SA-02,Western
188.249.97.0/24,SA,SA-02,Western
188.249.98.0/24,SA,SA-02,Western
188.249.99.0/24,SA,SA-02,Western
188.249.100.0/24,SA,SA-02,Western
188.249.101.0/24,SA,SA-02,Western
188.249.102.0/24,SA,SA-02,Western
 188.248.177.0/24,SA,SA-04,Eastern
 188.248.178.0/24,SA,SA-04,Eastern
 188.248.181.0/24,SA,SA-04,Eastern
 188.248.182.0/24,SA,SA-04,Eastern
 188.248.186.0/24,SA,SA-04,Eastern
 188.248.188.0/24,SA,SA-04,Eastern
 188.248.189.0/24,SA,SA-04,Eastern
 188.248.192.0/24,SA,SA-04,Eastern
 188.248.193.0/24,SA,SA-04,Eastern
 188.248.194.0/24,SA,SA-04,Eastern
 188.248.195.0/24,SA,SA-04,Eastern
 188.248.196.0/24,SA,SA-04,Eastern
 188.248.197.0/24,SA,SA-04,Eastern
 188.248.198.0/24,SA,SA-04,Eastern
 188.248.199.0/24,SA,SA-04,Eastern
 188.248.200.0/24,SA,SA-04,Eastern
 188.248.201.0/24,SA,SA-04,Eastern
 188.248.202.0/24,SA,SA-04,Eastern
 188.248.203.0/24,SA,SA-04,Eastern
 188.248.204.0/24,SA,SA-04,Eastern
 188.248.205.0/24,SA,SA-04,Eastern
 188.248.206.0/24,SA,SA-04,Eastern
 188.248.207.0/24,SA,SA-04,Eastern
 188.249.208.0/24,SA,SA-04,Eastern
 188.249.209.0/24,SA,SA-04,Eastern
 188.249.210.0/24,SA,SA-04,Eastern
 188.249.211.0/24,SA,SA-04,Eastern
 188.249.212.0/24,SA,SA-04,Eastern
 188.249.213.0/24,SA,SA-04,Eastern
 188.249.214.0/24,SA,SA-04,Eastern
 188.249.215.0/24,SA,SA-04,Eastern
 46.184.48.0/24,SA,SA-04,Eastern
 46.184.49.0/24,SA,SA-04,Eastern
 46.184.50.0/24,SA,SA-04,Eastern
 46.184.51.0/24,SA,SA-04,Eastern
 46.184.52.0/24,SA,SA-04,Eastern
 46.184.53.0/24,SA,SA-04,Eastern
 46.184.54.0/24,SA,SA-04,Eastern
 94.77.220.0/24,SA,SA-04,Eastern
 46.184.55.0/24,SA,SA-04,Eastern
 94.77.222.0/24,SA,SA-04,Eastern
 94.77.216.0/24,SA,SA-04,Eastern
 94.77.218.0/24,SA,SA-04,Eastern
188.249.124.0/24,SA,SA-04,Eastern
188.249.120.0/24,SA,SA-04,Eastern
188.249.122.0/24,SA,SA-04,Eastern
94.77.241.0/24,SA,SA-04,Eastern
46.184.60.0/24,SA,SA-04,Eastern
46.184.56.0/24,SA,SA-04,Eastern
46.184.58.0/24,SA,SA-04,Eastern
46.184.96.0/24,SA,SA-04,Eastern
46.184.97.0/24,SA,SA-04,Eastern
46.184.98.0/24,SA,SA-04,Eastern
46.184.99.0/24,SA,SA-04,Eastern
46.184.100.0/24,SA,SA-04,Eastern
46.184.101.0/24,SA,SA-04,Eastern
46.184.102.0/24,SA,SA-04,Eastern
46.184.103.0/24,SA,SA-04,Eastern
